gds_id,accession,title,summary,organism,n_samples,gse
200319477,GSE319477,Comparative Analysis of Defensin Expression in Hyalomma asiaticum Ticks Exposed to Staphylococcus aureus and Escherichia coli,"Background: Hyalomma asiaticum, which acts as a vector of zoonotic pathogens, relies on its innate immune system for defense. Methods: This study employed comparative transcriptomics to investigate de",Hyalomma asiaticum,9,319477
200310657,GSE310657,Quorum sensing regulator LsrR modulates resistance to oxidative stress by interfering with sulfate assimilation in avian pathogenic Escherichia coli,"Prokaryotes and eukaryotes endogenously generate the gaseous molecule hydrogen sulfide (H2S), which has been identified as a novel signaling molecule. Bacterial H2S plays a protective role against rea",Escherichia coli K-12,2,310657
200312438,GSE312438,A plant-derived antimicrobial peptide with multiple mechanisms of action exhibiting antibacterial and antibiofilm activities comparable to or superior to polymyxin B,"Antimicrobial peptides (AMPs) represent promising alternatives to conventional antibiotics in the fight against multidrug-resistant pathogens. Here, we characterize the antibacterial properties and mo",Escherichia coli,6,312438
200308141,GSE308141,"Embryo-derived proteins (PDI, CAPG, PSAT1) are highly conserved among placental mammals and alter the transcriptome of endometrial epithelial cells (bovine and human)","Pregnancy establishment in mammals requires a complex sequence of events, including bi-lateral embryo-maternal communication, leading up to implantation. This is the time when most pregnancy loss occu",Homo sapiens; Bos taurus,66,308141
200311202,GSE311202,Transcriptome profiling of oral keratinocytes cocultured with Th17 cells during Escherichia coli infection,"Oral lichen planus (OLP) lesions show chronic T cell–mediated inflammation and increased colonization by Escherichia coli, yet the mechanisms that enhance intracellular bacterial survival in oral kera",Mus musculus,9,311202
200302092,GSE302092,Cas9 senses CRISPR RNA abundance to regulate CRISPR spacer acquisition,"Prokaryotes create adaptive immune memories by acquiring foreign DNA snippets, known as spacers, into the CRISPR array1. In type II CRISPR-Cas systems, the RNA-guided effector Cas9 also assists the ac",Neisseria meningitidis 8013,128,302092
200295972,GSE295972,Acclimation of the Escherichia coli transcriptome after 10 hours of incubation in the presence of silver nitrate at sublethal levels.,Silver nitrate has been explored as an FDA-approved alternative to treat antibiotic-resistant bacterial strains. Questions remain as it relates to the full-systems response elicited to counteract its ,Escherichia coli,6,295972
200295971,GSE295971,Acclimation of the Escherichia coli transcriptome after 10 hours of incubation in the presence of tetrachloroauric acid at sublethal levels.,Tetrachloroauric acid has been explored as an FDA-approved alternative to treat antibiotic-resistant bacterial strains. Questions remain as it relates to the full-systems response elicited to countera,Escherichia coli,6,295971
200295970,GSE295970,Acclimation of the Escherichia coli transcriptome after 10 hours of incubation in the presence of copper sulfate at sublethal levels.,Copper sulfate has been explored as an FDA-approved alternative to treat antibiotic-resistant bacterial strains. Questions remain as it relates to the full-systems response elicited to counteract its ,Escherichia coli,6,295970
200273471,GSE273471,Dimethyl itaconate alleviates Escherichia coli-induced endometritis by activating the guanosine-CXCL14 axis via increasing the abundance of Muribaculaceae,"Endometritis, a prevalent reproductive system disease with high incidence, leads to reproductive dysfunction and potential miscarriage in both humans and animals, impacting human health and the dairy ",Mus musculus,6,273471
200319278,GSE319278,Abrogation of SOS mutagenesis by the E. coli OxyR oxidative stress response,"Most bacteria are capable of living and surviving under a wide range of conditions, including exposures to chemical and physical stressors. A key to survival under adverse conditions is their ability ",Escherichia coli,12,319278
200301628,GSE301628,RelA influence on antimicrobial action of t-cinnamaldehyde on Escherichia coli MG1655,"Antimicrobial resistance poses a global threat. Natural-origin compounds represent a valuable source of antimicrobial agents used in both human and veterinary medicine. However, understanding their me",Escherichia coli,12,301628
200295494,GSE295494,Revealing Transcriptomic Responses in Escherichia coli During Early Antibiotic Exposure,"The earliest stages of bacterial adaptation to antibiotics are critical for survival, as the responses initiated in these moments shape the path toward tolerance and resistance. While long-term adapta",Escherichia coli str. K-12 substr. MG1655,42,295494
200264631,GSE264631,Insights into the stress response of Escherichia coli biofilms upon Plasma-activated water treatment.,"Biofilms on surfaces pose quality and health risks, resisting traditional antimicrobial methods. Plasma-activated water (PAW) shows promise in biofilm elimination, yet its genetic impact remains uncle",Escherichia coli,16,264631
200282610,GSE282610,Broad-spectrum tolerance to disinfectant-mediated bacterial killing due to mutation of the PheS aminoacyl tRNA synthetase,Disinfectants are essential tools for controlling infectious diseases and maintaining sterile conditions in many medical and food-industry settings. Recent work revealed that a deficiency in the PTS c,Escherichia coli K-12,4,282610
