gene,disease_context,total_patents_found,recent_patents_3yr,patent_activity,freedom_to_operate,ip_opportunity,patents
OX40,antimicrobial resistance,24,14,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'Target-conditioned diffusion generates potent TNFR superfamily antagonists and agonists.', 'year': 2024, 'pmid': '39636970', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'OX40 in the Pathogenesis of Atopic Dermatitis-A New Therapeutic Target.', 'year': 2024, 'pmid': '38236520', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'ILC2s amplify PD-1 blockade by activating tissue-specific cancer immunity.', 'year': 2020, 'pmid': '32076273', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Combined TNF-α and OX40L targeting as a new treatment option for hidradenitis suppurativa.', 'year': 2025, 'pmid': '40502542', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'OX40 agonists for cancer treatment: a patent review.', 'year': 2021, 'pmid': '32945223', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Advances in patent applications related to cancer vaccine using CpG-ODN and OX40 association.', 'year': 2020, 'pmid': '32008403', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Bispecific anti-OX40/5T4 antibodies for cancer treatment.', 'year': 2021, 'pmid': '33709801', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'HVJ-E links Apolipoprotein d to antitumor effects.', 'year': 2025, 'pmid': '40541272', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Durable improvements in atopic dermatitis in the head and neck and across other anatomic regions with rocatinlimab.', 'year': 2024, 'pmid': '39503757', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Chimeric antigen receptor T cells to target CD79b in B-cell lymphomas.', 'year': 2023, 'pmid': '38007239', 'type': 'patent_reference'}]"
CRISPR,antimicrobial resistance,32,22,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'Selective organ targeting (SORT) nanoparticles for tissue-specific mRNA delivery and CRISPR-Cas gene editing.', 'year': 2020, 'pmid': '32251383', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Engineered human hepatocyte organoids enable CRISPR-based target discovery and drug screening for steatosis.', 'year': 2023, 'pmid': '36823355', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Ciltacabtagene autoleucel, a B-cell maturation antigen-directed chimeric antigen receptor T-cell therapy in patients with relapsed or refractory multiple myeloma (CARTITUDE-1): a phase 1b/2 open-label study.', 'year': 2021, 'pmid': '34175021', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Anti-tumor efficacy of HRS-4642 and its potential combination with proteasome inhibition in KRAS G12D-mutant cancer.', 'year': 2024, 'pmid': '38942026', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'RNA chemistry and therapeutics.', 'year': 2025, 'pmid': '40659813', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Targeting Cbl-b in cancer immunotherapy.', 'year': 2023, 'pmid': '36750253', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Delivery of oligonucleotide-based therapeutics: challenges and opportunities.', 'year': 2021, 'pmid': '33821570', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Programmable protein delivery with a bacterial contractile injection system.', 'year': 2023, 'pmid': '36991127', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Target Populations for Novel Triglyceride-Lowering Therapies.', 'year': 2025, 'pmid': '40368577', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Teclistamab, a B-cell maturation antigen\u2008×\u2008CD3 bispecific antibody, in patients with relapsed or refractory multiple myeloma (MajesTEC-1): a multicentre, open-label, single-arm, phase 1 study.', 'year': 2021, 'pmid': '34388396', 'type': 'patent_reference'}]"
RESULTS,antimicrobial resistance,39,23,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'OXPHOS-targeting drugs in oncology: new perspectives.', 'year': 2023, 'pmid': '37736880', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Ultrasound Technologies for Imaging and Modulating Neural Activity.', 'year': 2020, 'pmid': '33058769', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Programmable protein delivery with a bacterial contractile injection system.', 'year': 2023, 'pmid': '36991127', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Self-immolative Linkers in Prodrugs and Antibody Drug Conjugates in Cancer Treatment.', 'year': 2021, 'pmid': '33966624', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Endocytosis Inhibition in Humans to Improve Responses to ADCC-Mediating Antibodies.', 'year': 2020, 'pmid': '32142680', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Tumour-derived small extracellular vesicles act as a barrier to therapeutic nanoparticle delivery.', 'year': 2024, 'pmid': '39223270', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Chemical and Biomolecular Strategies for STING Pathway Activation in Cancer Immunotherapy.', 'year': 2022, 'pmid': '35107989', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'The Nano-War Against Complement Proteins.', 'year': 2021, 'pmid': '34505951', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Dental therapeutic systems.', 'year': 2008, 'pmid': '19075898', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Peptide-targeted nanoparticles for tumor therapy.', 'year': 2025, 'pmid': '40925419', 'type': 'patent_reference'}]"
IL,antimicrobial resistance,33,26,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'Doxil®--the first FDA-approved nano-drug: lessons learned.', 'year': 2012, 'pmid': '22484195', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Targeting IL-6 trans-signalling: past, present and future prospects.', 'year': 2023, 'pmid': '37069261', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Inhibition of IL-11 signalling extends mammalian healthspan and lifespan.', 'year': 2024, 'pmid': '39020175', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': ""Progress towards therapies for disease modification in Parkinson's disease."", 'year': 2021, 'pmid': '34146514', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Choosing the Right Biologic for the Right Patient With Severe Asthma.', 'year': 2025, 'pmid': '39245321', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'YTHDF2 inhibition potentiates radiotherapy antitumor efficacy.', 'year': 2023, 'pmid': '37236197', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Preclinical proof of principle for orally delivered Th17 antagonist miniproteins.', 'year': 2024, 'pmid': '38936360', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'IL-10-expressing CAR T cells resist dysfunction and mediate durable clearance of solid tumors and metastases.', 'year': 2024, 'pmid': '38168996', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'The menin inhibitor revumenib in KMT2A-rearranged or NPM1-mutant leukaemia.', 'year': 2023, 'pmid': '36922593', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Targeting interleukin-33 and thymic stromal lymphopoietin pathways for novel pulmonary therapeutics in asthma and COPD.', 'year': 2023, 'pmid': '36697211', 'type': 'patent_reference'}]"
BP,antimicrobial resistance,32,24,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'Hypertension.', 'year': 2018, 'pmid': '29565029', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Phase separation of FSP1 promotes ferroptosis.', 'year': 2023, 'pmid': '37380771', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'A novel antibiotic class targeting the lipopolysaccharide transporter.', 'year': 2024, 'pmid': '38172634', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'A neoantigen vaccine generates antitumour immunity in renal cell carcinoma.', 'year': 2025, 'pmid': '39910301', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Patiromer for the management of hyperkalemia in heart failure with reduced ejection fraction: the DIAMOND trial.', 'year': 2022, 'pmid': '35900838', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Activation of lysosomal iron triggers ferroptosis in cancer.', 'year': 2025, 'pmid': '40335696', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'As-Needed Blood Pressure Medication and Adverse Outcomes in VA Hospitals.', 'year': 2025, 'pmid': '39585709', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Fixed Low-Dose Triple Combination Antihypertensive Medication vs Usual Care for Blood Pressure Control in Patients With Mild to Moderate Hypertension in Sri Lanka: A Randomized Clinical Trial.', 'year': 2018, 'pmid': '30120478', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'The short and long-term efficacy of nurse-led interventions for improving blood pressure control in people with hypertension in primary care settings: a systematic review and meta-analysis.', 'year': 2024, 'pmid': '38678180', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'UM171 glues asymmetric CRL3-HDAC1/2 assembly to degrade CoREST corepressors.', 'year': 2025, 'pmid': '39939761', 'type': 'patent_reference'}]"
CCL17,antimicrobial resistance,6,3,moderate,needs_review,moderate,"[{'source': 'pubmed_patent_ref', 'title': 'A CCR4 antagonist reverses the tumor-promoting microenvironment of renal cancer.', 'year': 2017, 'pmid': '28134623', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Regulation of retinoid-mediated signaling involved in skin homeostasis by RAR and RXR agonists/antagonists in mouse skin.', 'year': 2013, 'pmid': '23638129', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Fully human antagonistic antibodies against CCR4 potently inhibit cell signaling and chemotaxis.', 'year': 2014, 'pmid': '25080123', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Tezepelumab inhibits highly functional truncated thymic stromal lymphopoietin in chronic rhinosinusitis.', 'year': 2025, 'pmid': '40057283', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Quadriparesis and paraparesis following chimeric antigen receptor T-cell therapy in children and adolescents.', 'year': 2024, 'pmid': '38905637', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Airway proteomics reveals broad residual anti-inflammatory effects of prednisolone in mepolizumab-treated asthma.', 'year': 2024, 'pmid': '39097197', 'type': 'patent_reference'}]"
EMA,antimicrobial resistance,28,18,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'The Bidirectional Relationship of Depression and Inflammation: Double Trouble.', 'year': 2020, 'pmid': '32553197', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Rezafungin versus caspofungin for treatment of candidaemia and invasive candidiasis (ReSTORE): a multicentre, double-blind, double-dummy, randomised phase 3 trial.', 'year': 2023, 'pmid': '36442484', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'PSMA-targeted radiotheranostics in modern nuclear medicine: then, now, and what of the future?', 'year': 2024, 'pmid': '38855174', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Recent advances in nanocrystals for arthritis drug delivery.', 'year': 2025, 'pmid': '40357685', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Synergic development of pharmacokinetics and bioanalytical methods as support of pharmaceutical research.', 'year': 2016, 'pmid': '26684641', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Latent-state and model-based learning in PTSD.', 'year': 2024, 'pmid': '38212163', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Advances and ongoing challenges in eosinophilic gastrointestinal disorders presented at the CEGIR/TIGERs Symposium at the 2024 American Academy of Allergy, Asthma & Immunology meeting.', 'year': 2024, 'pmid': '39111348', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Drug Repurposing of New Treatments for Neuroendocrine Tumors.', 'year': 2025, 'pmid': '40805187', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Delivering the power of nanomedicine to patients today.', 'year': 2020, 'pmid': '32681950', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'MicroRNA Nobel Prize: Timely Recognition and High Anticipation of Future Products-A Prospective Analysis.', 'year': 2024, 'pmid': '39684593', 'type': 'patent_reference'}]"
GYRA,antimicrobial resistance,12,5,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'ATP-competitive DNA gyrase and topoisomerase IV inhibitors as antibacterial agents.', 'year': 2019, 'pmid': '30686070', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Discovery of isoquinoline sulfonamides as allosteric gyrase inhibitors with activity against fluoroquinolone-resistant bacteria.', 'year': 2024, 'pmid': '38898213', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Detection of drug resistant Mycobacterium tuberculosis by high-throughput sequencing of DNA isolated from acid fast bacilli smears.', 'year': 2020, 'pmid': '32384098', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Clinical Evaluation of the XDR-LFC Assay for the Molecular Detection of Isoniazid, Rifampin, Fluoroquinolone, Kanamycin, Capreomycin, and Amikacin Drug Resistance in a Prospective Cohort.', 'year': 2023, 'pmid': '36757183', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'New antibacterial agents: patent applications published in 2010.', 'year': 2012, 'pmid': '24236928', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Structural interactions of BWC0977 with Klebsiella pneumoniae topoisomerase IV and biochemical basis of its broad-spectrum activity.', 'year': 2025, 'pmid': '41291128', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Single gene targeted nanopore sequencing enables simultaneous identification and antimicrobial resistance detection of sexually transmitted infections.', 'year': 2022, 'pmid': '35061780', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Exploring the antimicrobial efficacy of Manuka honey against multidrug-resistant and extensively drug-resistant ', 'year': 2024, 'pmid': '39109942', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Novel Conserved Genotypes Correspond to Antibiotic Resistance Phenotypes of E. coli Clinical Isolates.', 'year': 2013, 'pmid': '23824211', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Molecular characterization of Campylobacter spp. recovered from beef, chicken, lamb and pork products at retail in Australia.', 'year': 2020, 'pmid': '32730330', 'type': 'patent_reference'}]"
VCM,antimicrobial resistance,3,2,low,likely_clear,high,"[{'source': 'pubmed_patent_ref', 'title': 'Numerical mesoscale tissue model of electrochemotherapy in liver based on histological findings.', 'year': 2022, 'pmid': '35444226', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Intratumoral delivery of tavokinogene telseplasmid yields systemic immune responses in metastatic melanoma patients.', 'year': 2020, 'pmid': '32147213', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Design of experiment optimization of hydrocortisone ocular minitablets via vacuum compression molding with scalability assessment by fused deposition modeling.', 'year': 2026, 'pmid': '41314267', 'type': 'patent_reference'}]"
JAK,antimicrobial resistance,31,29,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'Biologic Versus Small Molecule Therapy for Treating Moderate to Severe Atopic Dermatitis: Clinical Considerations.', 'year': 2023, 'pmid': '36948491', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Vitiligo.', 'year': 2025, 'pmid': '41345471', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Novel approaches in myelofibrosis.', 'year': 2024, 'pmid': '39670187', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Difelikefalin suppresses itch and reduces scratching independent of inflammation in a murine model of atopic dermatitis.', 'year': 2023, 'pmid': '37453613', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Integrative genomic identification of therapeutic targets for pancreatic cancer.', 'year': 2025, 'pmid': '40848256', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Targeting Janus Kinases and Signal Transducer and Activator of Transcription 3 to Treat Inflammation, Fibrosis, and Cancer: Rationale, Progress, and Caution.', 'year': 2020, 'pmid': '32198236', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Formononetin inhibits IgE by huPlasma/PBMCs and mast cells/basophil activation via JAK/STAT/PI3-Akt pathways.', 'year': 2024, 'pmid': '39221239', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Targeting FOXM1 reshapes antitumor immunity to attenuate small cell lung cancer progression.', 'year': 2026, 'pmid': '41276109', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Challenges, opportunities, and therapeutic potential of JAK inhibitors and their derived PROTACs (2022 - 2023).', 'year': 2025, 'pmid': '40056149', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Choosing Between HLA-Mismatched Unrelated and Haploidentical Donors: Donor Age Considerations.', 'year': 2025, 'pmid': '40419020', 'type': 'patent_reference'}]"
