pmid,title,year,journal,pmc_id
20071148,Higher cortisol levels are associated with smaller left hippocampal volume in first-episode psychosis.,2010,Schizophrenia research,PMC3513409
20141298,Dispositional mindfulness and depressive symptomatology: correlations with limbic and self-referential neural activity during rest.,2010,"Emotion (Washington, D.C.)",PMC2868367
20149549,Mifepristone decreases depression-like behavior and modulates neuroendocrine and central hypothalamic-pituitary-adrenocortical axis responsiveness to stress.,2010,Psychoneuroendocrinology,PMC3934351
20159144,Abnormal left and right amygdala-orbitofrontal cortical functional connectivity to emotional faces: state versus trait vulnerability markers of depression in bipolar disorder.,2010,Biological psychiatry,PMC2835157
20215939,Altered white matter microstructure in adolescents with major depression: a preliminary study,2010,Journal of the American Academy of Child and Adolescent Psychiatry,PMC2909686
20376317,Altered gene synchrony suggests a combined hormone-mediated dysregulated state in major depression,2010,PloS one,PMC2848620
20598672,Insomnia severity is associated with a decreased volume of the CA3/dentate gyrus hippocampal subfield.,2010,Biological psychiatry,PMC2921477
20686454,Peripheral BDNF produces antidepressant-like effects in cellular and behavioral models.,2010,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,PMC2955759
20738409,Anxiety-related behavioral inhibition in rats: a model to examine mechanisms underlying the risk to develop stress-related psychopathology.,2010,"Genes, brain, and behavior",PMC2975876
20808107,Change in hippocampal volume on magnetic resonance imaging and cognitive decline among older depressed and nondepressed subjects in the neurocognitive outcomes of depression in the elderly study.,2011,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,PMC3010251
21041614,Relationship between amygdala responses to masked faces and mood state and treatment in major depressive disorder.,2010,Archives of general psychiatry,PMC3253452
21048519,Subgenual cingulate connectivity in children with a history of preschool-depression.,2010,Neuroreport,PMC3008372
21051206,Structural equation modeling and principal component analysis of gray matter volumes in major depressive and bipolar disorders: differences in latent volumetric structure.,2010,Psychiatry research,PMC3001135
21073959,Prefrontal cortical abnormalities in currently depressed versus currently remitted patients with major depressive disorder.,2011,NeuroImage,PMC3020249
21218562,Hippocampal volumes and the brain-derived neurotrophic factor val66met polymorphism in geriatric major depression.,2011,The American journal of geriatric psychiatry : official journal of the American Association for Geriatric Psychiatry,PMC3058412
21242818,Hippocampal volume in postmenopausal cynomolgus macaques with behavioral depression.,2011,"Menopause (New York, N.Y.)",PMC3123431
21262054,Subgenual anterior cingulate responses to peer rejection: a marker of adolescents' risk for depression.,2011,Development and psychopathology,PMC3229829
21276593,Childhood trauma history differentiates amygdala response to sad faces within MDD.,2011,Journal of psychiatric research,PMC3090525
