gene,disease_context,total_patents_found,recent_patents_3yr,patent_activity,freedom_to_operate,ip_opportunity,patents
IL7R,pruritus itch,10,7,moderate,needs_review,moderate,"[{'source': 'pubmed_patent_ref', 'title': 'Formononetin inhibits IgE by huPlasma/PBMCs and mast cells/basophil activation via JAK/STAT/PI3-Akt pathways.', 'year': 2024, 'pmid': '39221239', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Inhalation of panaxadiol alleviates lung inflammation ', 'year': 2024, 'pmid': '38223829', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Transcriptional programs of neoantigen-specific TIL in anti-PD-1-treated lung cancers.', 'year': 2021, 'pmid': '34290408', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Glycoengineering-based anti-PD-1-iRGD peptide conjugate boosts antitumor efficacy through T\xa0cell engagement.', 'year': 2024, 'pmid': '38843844', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'The IL-7R antagonist lusvertikimab reduces leukemic burden in xenograft ALL via antibody-dependent cellular phagocytosis.', 'year': 2024, 'pmid': '38518105', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'CD4', 'year': 2025, 'pmid': '40107245', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'The transcription factor NFIL3 drives innate lymphoid cell specification from lymphoid progenitors.', 'year': 2025, 'pmid': '41172988', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Inhibition of the Sec61 translocon overcomes cytokine-induced glucocorticoid resistance in T-cell acute lymphoblastic leukaemia.', 'year': 2022, 'pmid': '35434798', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': ""Genomic and outcome analyses of Ph-like ALL in NCI standard-risk patients: a report from the Children's Oncology Group."", 'year': 2018, 'pmid': '29997224', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Inhibiting Janus Kinase 1 and BCL-2 to treat T cell acute lymphoblastic leukemia with IL7-Rα mutations.', 'year': 2018, 'pmid': '29854301', 'type': 'patent_reference'}]"
IL6R,pruritus itch,21,15,high,needs_review,low,"[{'source': 'pubmed_patent_ref', 'title': 'Rituximab versus tocilizumab in rheumatoid arthritis: synovial biopsy-based biomarker analysis of the phase 4 R4RA randomized trial.', 'year': 2022, 'pmid': '35589854', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'De novo design of miniprotein antagonists of cytokine storm inducers.', 'year': 2024, 'pmid': '39152100', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Proteogenomic Data Integration Reveals CXCL10 as a Potentially Downstream Causal Mediator for IL-6 Signaling on Atherosclerosis.', 'year': 2024, 'pmid': '38152968', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Tocilizumab Dosing for Management of T Cell-Engaging Bispecific Antibody-Related CRS in Patients With R/R B-Cell NHL.', 'year': 2025, 'pmid': '40576759', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Insights into forsythia honeysuckle (Lianhuaqingwen) capsules: A Chinese herbal medicine repurposed for COVID-19 pandemic.', 'year': 2021, 'pmid': '35399819', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Optimisation of anti-interleukin-6 therapy: Precision medicine through mathematical modelling.', 'year': 2022, 'pmid': '35928820', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': ""The Alzheimer's disease-linked protease BACE1 modulates neuronal IL-6 signaling through shedding of the receptor gp130."", 'year': 2023, 'pmid': '36810097', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'A Hybrid Soluble gp130/Spike-Nanobody Fusion Protein Simultaneously Blocks Interleukin-6 ', 'year': 2022, 'pmid': '34935434', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Methods for treating IL-6-related diseases (US2015010554A1): a patent evaluation.', 'year': 2015, 'pmid': '26059273', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Disease-Drug-Drug Interaction of Imatinib in COVID-19 ARDS: A Pooled Population Pharmacokinetic Analysis.', 'year': 2025, 'pmid': '39985762', 'type': 'patent_reference'}]"
DOK2,pruritus itch,0,0,low,likely_clear,high,[]
TESPA1,pruritus itch,0,0,low,likely_clear,high,[]
PRKCQ,pruritus itch,0,0,low,likely_clear,high,[]
CYP24A1,pruritus itch,1,1,low,likely_clear,high,"[{'source': 'pubmed_patent_ref', 'title': 'The DHCR7 is the key target of lipotoxic liver injury caused by matrine through abnormal activation of the cholesterol synthesis pathway.', 'year': 2025, 'pmid': '40250732', 'type': 'patent_reference'}]"
NLRP10,pruritus itch,0,0,low,likely_clear,high,[]
TAGAP,pruritus itch,0,0,low,likely_clear,high,[]
BACH2,pruritus itch,1,1,low,likely_clear,high,"[{'source': 'pubmed_patent_ref', 'title': 'Glycoengineering-based anti-PD-1-iRGD peptide conjugate boosts antitumor efficacy through T\xa0cell engagement.', 'year': 2024, 'pmid': '38843844', 'type': 'patent_reference'}]"
MMP12,pruritus itch,2,2,low,likely_clear,high,"[{'source': 'pubmed_patent_ref', 'title': 'Th2 mRNA gene expression analysis separates Prurigo nodularis into two immune signature groups.', 'year': 2025, 'pmid': '40600744', 'type': 'patent_reference'}, {'source': 'pubmed_patent_ref', 'title': 'Airway proteomics reveals broad residual anti-inflammatory effects of prednisolone in mepolizumab-treated asthma.', 'year': 2024, 'pmid': '39097197', 'type': 'patent_reference'}]"
